Device,Image Pixels,Kernel Size,Num AIOs,AIO Latency,Parallelism,Cores,Mem Latency,Ext Data Movement,Mem Overlap,Bus Width,Working Set Size,Mem Bandwidth
DSA,1024,3,9216,1,1024,4,1,6153,0,4,18,1
DSA,1024,5,15360,1,1024,4,1,6169,0,4,50,1
DSA,1024,7,21504,1,1024,4,1,6193,0,4,98,1
DSA,1024,9,27648,1,1024,4,1,6225,0,4,162,1
DSA,1024,11,33792,1,1024,4,1,6265,0,4,242,1
DSA,1024,13,39936,1,1024,4,1,6313,0,4,338,1
DSA,1024,15,46080,1,1024,4,1,6369,0,4,450,1
DSA,1024,21,64512,1,1024,4,1,6585,0,4,882,1
DSA,4096,3,36864,1,4096,4,1,24585,0,4,18,1
DSA,4096,5,61440,1,4096,4,1,24601,0,4,50,1
DSA,4096,7,86016,1,4096,4,1,24625,0,4,98,1
DSA,4096,9,110592,1,4096,4,1,24657,0,4,162,1
DSA,4096,11,135168,1,4096,4,1,24697,0,4,242,1
DSA,4096,13,159744,1,4096,4,1,24745,0,4,338,1
DSA,4096,15,184320,1,4096,4,1,24801,0,4,450,1
DSA,4096,21,258048,1,4096,4,1,25017,0,4,882,1
DSA,16384,3,147456,1,16384,4,1,98313,0,4,18,1
DSA,16384,5,245760,1,16384,4,1,98329,0,4,50,1
DSA,16384,7,344064,1,16384,4,1,98353,0,4,98,1
DSA,16384,9,442368,1,16384,4,1,98385,0,4,162,1
DSA,16384,11,540672,1,16384,4,1,98425,0,4,242,1
DSA,16384,13,638976,1,16384,4,1,98473,0,4,338,1
DSA,16384,15,737280,1,16384,4,1,98529,0,4,450,1
DSA,16384,21,1032192,1,16384,4,1,98745,0,4,882,1
DSA,73728,3,663552,1,73728,4,1,442377,0,4,18,1
DSA,73728,5,1105920,1,73728,4,1,442393,0,4,50,1
DSA,73728,7,1548288,1,73728,4,1,442417,0,4,98,1
DSA,73728,9,1990656,1,73728,4,1,442449,0,4,162,1
DSA,73728,11,2433024,1,73728,4,1,442489,0,4,242,1
DSA,73728,13,2875392,1,73728,4,1,442537,0,4,338,1
DSA,73728,15,3317760,1,73728,4,1,442593,0,4,450,1
DSA,73728,21,4644864,1,73728,4,1,442809,0,4,882,1
DSA,1920000,3,17280000,1,1920000,4,1,11520009,0,4,18,1
DSA,1920000,5,28800000,1,1920000,4,1,11520025,0,4,50,1
DSA,1920000,7,40320000,1,1920000,4,1,11520049,0,4,98,1
DSA,1920000,9,51840000,1,1920000,4,1,11520081,0,4,162,1
DSA,1920000,11,63360000,1,1920000,4,1,11520121,0,4,242,1
DSA,1920000,13,74880000,1,1920000,4,1,11520169,0,4,338,1
DSA,1920000,15,86400000,1,1920000,4,1,11520225,0,4,450,1
DSA,1920000,21,120960000,1,1920000,4,1,11520441,0,4,882,1
DSA,5456896,3,49112064,1,5456896,4,1,32741385,0,4,18,1
DSA,5456896,5,81853440,1,5456896,4,1,32741401,0,4,50,1
DSA,5456896,7,114594816,1,5456896,4,1,32741425,0,4,98,1
DSA,5456896,9,147336192,1,5456896,4,1,32741457,0,4,162,1
DSA,5456896,11,180077568,1,5456896,4,1,32741497,0,4,242,1
DSA,5456896,13,212818944,1,5456896,4,1,32741545,0,4,338,1
DSA,5456896,15,245560320,1,5456896,4,1,32741601,0,4,450,1
DSA,5456896,21,343784448,1,5456896,4,1,32741817,0,4,882,1
DSA,14641000,3,131769000,1,14641000,4,1,87846009,0,4,18,1
DSA,14641000,5,219615000,1,14641000,4,1,87846025,0,4,50,1
DSA,14641000,7,307461000,1,14641000,4,1,87846049,0,4,98,1
DSA,14641000,9,395307000,1,14641000,4,1,87846081,0,4,162,1
DSA,14641000,11,483153000,1,14641000,4,1,87846121,0,4,242,1
DSA,14641000,13,570999000,1,14641000,4,1,87846169,0,4,338,1
DSA,14641000,15,658845000,1,14641000,4,1,87846225,0,4,450,1
DSA,14641000,21,922383000,1,14641000,4,1,87846441,0,4,882,1
